date,open,high,low,volume,close
2020-09-03,11566.2001953125,11584.9501953125,11507.650390625,607100.0,11527.4501953125
2020-09-04,11354.400390625,11452.0498046875,11303.650390625,681300.0,11333.849609375
2020-09-07,11359.599609375,11381.150390625,11251.7001953125,560300.0,11355.0498046875
2020-09-08,11378.5498046875,11437.25,11290.4501953125,572200.0,11317.349609375
2020-09-09,11218.599609375,11298.150390625,11185.150390625,728900.0,11278.0
2020-09-10,11363.2998046875,11464.0498046875,11327.400390625,679400.0,11449.25
2020-09-11,11447.7998046875,11493.5,11419.900390625,554800.0,11464.4501953125
2020-09-14,11540.150390625,11568.900390625,11383.5498046875,642300.0,11440.0498046875
2020-09-15,11487.2001953125,11535.9501953125,11442.25,506700.0,11521.7998046875
2020-09-16,11538.4501953125,11618.099609375,11516.75,527800.0,11604.5498046875
2020-09-17,11539.400390625,11587.2001953125,11498.5,0.0,11516.099609375
2020-09-18,11584.099609375,11584.099609375,11446.099609375,764200.0,11504.9501953125
2020-09-21,11503.7998046875,11535.25,11218.5,602900.0,11250.5498046875
2020-09-22,11301.75,11302.2001953125,11084.650390625,672200.0,11153.650390625
2020-09-23,11258.75,11259.5498046875,11024.400390625,714900.0,11131.849609375
2020-09-24,11011.0,11015.2998046875,10790.2001953125,706100.0,10805.5498046875
2020-09-25,10910.400390625,11072.599609375,10854.849609375,559600.0,11050.25
2020-09-28,11140.849609375,11239.349609375,11099.849609375,472800.0,11227.5498046875
2020-09-29,11288.599609375,11305.400390625,11181.0,498300.0,11222.400390625
2020-09-30,11244.4501953125,11295.400390625,11184.5498046875,499300.0,11247.5498046875
2020-10-01,11364.4501953125,11428.599609375,11347.0498046875,447700.0,11416.9501953125
2020-10-05,11487.7998046875,11578.0498046875,11452.2998046875,530600.0,11503.349609375
2020-10-06,11603.4501953125,11680.2998046875,11564.2998046875,561400.0,11662.400390625
2020-10-07,11679.25,11763.0498046875,11629.349609375,513400.0,11738.849609375
2020-10-08,11835.400390625,11905.7001953125,11791.150390625,608800.0,11834.599609375
2020-10-09,11852.0498046875,11938.599609375,11805.2001953125,611100.0,11914.2001953125
2020-10-12,11973.5498046875,12022.0498046875,11867.2001953125,522600.0,11930.9501953125
2020-10-13,11934.650390625,11988.2001953125,11888.900390625,458300.0,11934.5
2020-10-14,11917.400390625,11997.2001953125,11822.150390625,569200.0,11971.0498046875
2020-10-15,12023.4501953125,12025.4501953125,11661.2998046875,608900.0,11680.349609375
2020-10-16,11727.400390625,11789.75,11667.849609375,555800.0,11762.4501953125
2020-10-19,11879.2001953125,11898.25,11820.400390625,541400.0,11873.0498046875
2020-10-20,11861.0,11949.25,11837.25,453600.0,11896.7998046875
2020-10-21,11958.5498046875,12018.650390625,11775.75,623700.0,11937.650390625
2020-10-22,11890.0,11939.5498046875,11823.4501953125,544900.0,11896.4501953125
2020-10-23,11957.900390625,11974.5498046875,11908.75,502300.0,11930.349609375
2020-10-26,11937.400390625,11942.849609375,11711.7001953125,519800.0,11767.75
2020-10-27,11807.099609375,11899.0498046875,11723.0,616300.0,11889.400390625
2020-10-28,11922.599609375,11929.400390625,11684.849609375,704000.0,11729.599609375
2020-10-29,11633.2998046875,11744.150390625,11606.4501953125,555000.0,11670.7998046875
2020-10-30,11678.4501953125,11748.9501953125,11535.4501953125,553700.0,11642.400390625
2020-11-02,11697.349609375,11725.650390625,11557.400390625,568400.0,11669.150390625
2020-11-03,11734.4501953125,11836.2001953125,11723.2998046875,674300.0,11813.5
2020-11-04,11783.349609375,11929.650390625,11756.400390625,667300.0,11908.5
2020-11-05,12062.400390625,12131.099609375,12027.599609375,632500.0,12120.2998046875
2020-11-06,12156.650390625,12280.400390625,12131.849609375,576800.0,12263.5498046875
2020-11-09,12399.400390625,12474.0498046875,12367.349609375,553400.0,12461.0498046875
2020-11-10,12556.400390625,12643.900390625,12475.25,847500.0,12631.099609375
2020-11-11,12680.599609375,12769.75,12571.099609375,880500.0,12749.150390625
2020-11-12,12702.150390625,12741.150390625,12624.849609375,622000.0,12690.7998046875
2020-11-13,12659.7001953125,12735.9501953125,12607.7001953125,513900.0,12719.9501953125
2020-11-17,12932.5,12934.0498046875,12797.099609375,707700.0,12874.2001953125
2020-11-18,12860.099609375,12948.849609375,12819.349609375,731300.0,12938.25
2020-11-19,12839.5,12963.0,12745.75,768800.0,12771.7001953125
2020-11-20,12813.400390625,12892.4501953125,12730.25,664000.0,12859.0498046875
2020-11-23,12960.2998046875,12968.849609375,12825.7001953125,633100.0,12926.4501953125
2020-11-24,13002.599609375,13079.099609375,12978.0,571900.0,13055.150390625
2020-11-25,13130.0,13145.849609375,12833.650390625,679000.0,12858.400390625
2020-11-26,12906.4501953125,13018.0,12790.400390625,549800.0,12987.0
2020-11-27,13012.0498046875,13035.2998046875,12914.2998046875,1162400.0,12968.9501953125
2020-12-01,13062.2001953125,13128.400390625,12962.7998046875,583600.0,13109.0498046875
2020-12-02,13121.400390625,13128.5,12983.5498046875,717700.0,13113.75
2020-12-03,13215.2998046875,13216.599609375,13107.900390625,713700.0,13133.900390625
2020-12-04,13177.400390625,13280.0498046875,13152.849609375,640500.0,13258.5498046875
2020-12-07,13264.849609375,13366.650390625,13241.9501953125,591700.0,13355.75
2020-12-08,13393.849609375,13435.4501953125,13311.0498046875,543200.0,13392.9501953125
2020-12-09,13458.099609375,13548.900390625,13449.599609375,502600.0,13529.099609375
2020-12-10,13488.5,13503.5498046875,13399.2998046875,553400.0,13478.2998046875
2020-12-11,13512.2998046875,13579.349609375,13402.849609375,787700.0,13513.849609375
2020-12-14,13571.4501953125,13597.5,13472.4501953125,558400.0,13558.150390625
2020-12-15,13547.2001953125,13589.650390625,13447.0498046875,497600.0,13567.849609375
2020-12-16,13663.099609375,13692.349609375,13606.4501953125,462200.0,13682.7001953125
2020-12-17,13713.5498046875,13773.25,13673.5498046875,416000.0,13740.7001953125
2020-12-18,13764.400390625,13772.849609375,13658.599609375,519400.0,13760.5498046875
2020-12-21,13741.900390625,13777.5,13131.4501953125,687300.0,13328.400390625
2020-12-22,13373.650390625,13492.0498046875,13192.900390625,696200.0,13466.2998046875
2020-12-23,13473.5,13619.4501953125,13432.2001953125,458700.0,13601.099609375
2020-12-24,13672.150390625,13771.75,13626.900390625,471400.0,13749.25
2020-12-28,13815.150390625,13885.2998046875,13811.5498046875,403600.0,13873.2001953125
2020-12-29,13910.349609375,13967.599609375,13859.900390625,439600.0,13932.599609375
2020-12-30,13980.900390625,13997.0,13864.9501953125,380700.0,13981.9501953125
2020-12-31,13970.0,14024.849609375,13936.4501953125,452400.0,13981.75
2021-01-01,13996.099609375,14049.849609375,13991.349609375,358100.0,14018.5
2021-01-04,14104.349609375,14147.9501953125,13953.75,495000.0,14132.900390625
2021-01-05,14075.150390625,14215.599609375,14048.150390625,492500.0,14199.5
2021-01-06,14240.9501953125,14244.150390625,14039.900390625,632300.0,14146.25
2021-01-07,14253.75,14256.25,14123.099609375,559200.0,14137.349609375
2021-01-08,14258.400390625,14367.2998046875,14221.650390625,613500.0,14347.25
2021-01-11,14474.0498046875,14498.2001953125,14383.099609375,672900.0,14484.75
2021-01-12,14473.7998046875,14590.650390625,14432.849609375,929600.0,14563.4501953125
2021-01-13,14639.7998046875,14653.349609375,14435.7001953125,874000.0,14564.849609375
2021-01-14,14550.0498046875,14617.7998046875,14471.5,620200.0,14595.599609375
2021-01-15,14594.349609375,14617.4501953125,14357.849609375,789600.0,14433.7001953125
2021-01-18,14453.2998046875,14459.150390625,14222.7998046875,762000.0,14281.2998046875
2021-01-19,14371.650390625,14546.0498046875,14350.849609375,546100.0,14521.150390625
2021-01-20,14538.2998046875,14666.4501953125,14517.5498046875,623100.0,14644.7001953125
2021-01-21,14730.9501953125,14753.5498046875,14517.25,704600.0,14590.349609375
2021-01-22,14583.400390625,14619.900390625,14357.75,776800.0,14371.900390625
2021-01-25,14477.7998046875,14491.099609375,14218.599609375,618600.0,14238.900390625
2021-01-27,14237.9501953125,14237.9501953125,13929.2998046875,660700.0,13967.5
2021-01-28,13810.400390625,13898.25,13713.25,637900.0,13817.5498046875
2021-01-29,13946.599609375,13966.849609375,13596.75,753200.0,13634.599609375
2021-02-01,13758.599609375,14336.349609375,13661.75,870500.0,14281.2001953125
2021-02-02,14481.099609375,14731.7001953125,14469.150390625,915000.0,14647.849609375
2021-02-03,14754.900390625,14868.849609375,14574.150390625,869500.0,14789.9501953125
2021-02-04,14789.0498046875,14913.7001953125,14714.75,884700.0,14895.650390625
2021-02-05,14952.599609375,15014.650390625,14864.75,935600.0,14924.25
2021-02-08,15064.2998046875,15159.900390625,15041.0498046875,671200.0,15115.7998046875
2021-02-09,15164.150390625,15257.099609375,15064.2998046875,713300.0,15109.2998046875
