,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,K-S,calendar_days_to_maturity,mkt_price
245,NIFTY,21600,2025-04-24,225,104.65,150,105.25,22571.65,971.6500000000015,48,104.95
244,NIFTY,21600,2025-04-09,900,31.65,75,81.6,22571.65,971.6500000000015,33,56.625
525,NIFTY,23550,2025-04-24,150,864.15,150,889.25,22571.65,978.3499999999985,48,876.7
238,NIFTY,21550,2025-04-24,525,98.9,525,99.75,22571.65,1021.6500000000015,48,99.325
237,NIFTY,21550,2025-04-09,900,23.05,900,78.0,22571.65,1021.6500000000015,33,50.525
531,NIFTY,23600,2025-04-24,150,906.15,75,909.9,22571.65,1028.3499999999985,48,908.025
231,NIFTY,21500,2025-04-24,75,95.05,825,95.4,22571.65,1071.6500000000015,48,95.225
230,NIFTY,21500,2025-04-09,75,50.8,75,68.9,22571.65,1071.6500000000015,33,59.85
537,NIFTY,23650,2025-04-24,225,927.6,225,974.25,22571.65,1078.3499999999985,48,950.925
224,NIFTY,21450,2025-04-24,1800,83.05,1350,94.2,22571.65,1121.6500000000015,48,88.625
223,NIFTY,21450,2025-04-09,900,20.05,900,68.25,22571.65,1121.6500000000015,33,44.15
543,NIFTY,23700,2025-04-24,225,980.25,75,996.6,22571.65,1128.3499999999985,48,988.425
217,NIFTY,21400,2025-04-24,225,83.35,225,83.8,22571.65,1171.6500000000015,48,83.57499999999999
216,NIFTY,21400,2025-04-09,900,37.45,75,63.4,22571.65,1171.6500000000015,33,50.425
549,NIFTY,23750,2025-04-24,150,1001.8,225,1036.25,22571.65,1178.3499999999985,48,1019.025
210,NIFTY,21350,2025-04-24,225,70.8,1800,119.65,22571.65,1221.6500000000015,48,95.225
209,NIFTY,21350,2025-04-09,900,16.15,900,60.3,22571.65,1221.6500000000015,33,38.224999999999994
555,NIFTY,23800,2025-04-24,75,1056.75,75,1073.75,22571.65,1228.3499999999985,48,1065.25
203,NIFTY,21300,2025-04-24,225,74.0,150,74.4,22571.65,1271.6500000000015,48,74.2
202,NIFTY,21300,2025-04-09,900,27.6,1800,55.6,22571.65,1271.6500000000015,33,41.6
561,NIFTY,23850,2025-04-24,225,1087.25,225,1136.05,22571.65,1278.3499999999985,48,1111.65
196,NIFTY,21250,2025-04-24,450,69.0,225,70.5,22571.65,1321.6500000000015,48,69.75
195,NIFTY,21250,2025-04-09,900,13.05,900,52.5,22571.65,1321.6500000000015,33,32.775
567,NIFTY,23900,2025-04-24,75,1135.3,225,1171.5,22571.65,1328.3499999999985,48,1153.4
189,NIFTY,21200,2025-04-24,75,65.85,150,66.45,22571.65,1371.6500000000015,48,66.15
188,NIFTY,21200,2025-04-09,900,17.7,1800,48.75,22571.65,1371.6500000000015,33,33.225
573,NIFTY,23950,2025-04-24,225,1171.1,225,1222.05,22571.65,1378.3499999999985,48,1196.5749999999998
182,NIFTY,21150,2025-04-24,600,54.75,900,66.2,22571.65,1421.6500000000015,48,60.475
181,NIFTY,21150,2025-04-09,225,12.1,0,0.0,22571.65,1421.6500000000015,33,6.05
579,NIFTY,24000,2025-04-24,150,1235.8,150,1245.7,22571.65,1428.3499999999985,48,1240.75
175,NIFTY,21100,2025-04-24,225,59.1,225,59.6,22571.65,1471.6500000000015,48,59.35
