,symbol,strikePrice,expiryDate,bid_qty,bid_price,ask_qty,ask_price,ltp,S-K,calendar_days_to_maturity,mkt_price
597,NIFTY,24700,2025-04-24,375,19.25,525,19.65,22571.65,2128.3499999999985,48,19.45
26,NIFTY,20400,2025-04-24,225,2345.25,75,2477.6,22571.65,2171.6500000000015,48,2411.425
601,NIFTY,24750,2025-04-24,225,16.8,225,19.3,22571.65,2178.3499999999985,48,18.05
20,NIFTY,20350,2025-04-24,75,2388.75,225,2517.75,22571.65,2221.6500000000015,48,2453.25
605,NIFTY,24800,2025-04-24,75,17.45,375,18.45,22571.65,2228.3499999999985,48,17.95
608,NIFTY,24850,2025-04-24,225,14.5,225,18.9,22571.65,2278.3499999999985,48,16.7
611,NIFTY,24900,2025-04-24,225,15.0,225,17.4,22571.65,2328.3499999999985,48,16.2
614,NIFTY,24950,2025-04-24,225,13.2,225,17.8,22571.65,2378.3499999999985,48,15.5
617,NIFTY,25000,2025-04-24,75,14.35,150,14.4,22571.65,2428.3499999999985,48,14.375
626,NIFTY,25050,2025-04-24,225,12.3,225,14.8,22571.65,2478.3499999999985,48,13.55
629,NIFTY,25100,2025-04-24,225,12.25,225,14.6,22571.65,2528.3499999999985,48,13.425
632,NIFTY,25150,2025-04-24,225,10.95,225,14.3,22571.65,2578.3499999999985,48,12.625
635,NIFTY,25200,2025-04-24,225,11.1,225,13.3,22571.65,2628.3499999999985,48,12.2
638,NIFTY,25250,2025-04-24,900,11.8,225,12.15,22571.65,2678.3499999999985,48,11.975000000000001
641,NIFTY,25300,2025-04-24,225,10.15,225,12.8,22571.65,2728.3499999999985,48,11.475000000000001
644,NIFTY,25350,2025-04-24,225,9.15,225,13.05,22571.65,2778.3499999999985,48,11.100000000000001
646,NIFTY,25400,2025-04-24,75,10.0,1050,15.25,22571.65,2828.3499999999985,48,12.625
648,NIFTY,25450,2025-04-24,225,9.0,600,14.45,22571.65,2878.3499999999985,48,11.725
650,NIFTY,25500,2025-04-24,300,9.7,300,10.1,22571.65,2928.3499999999985,48,9.899999999999999
